record_type,year,decade,era,five_year_plan,is_election_year,economic_event,flow,commodity,partner_country,country_code,region,trade_bloc,segment_value_usd_m,segment_share_pct,exports_usd_million,imports_usd_million,trade_balance_usd_million,exports_merchandise_usd_m,imports_merchandise_usd_m,exports_services_usd_m,imports_services_usd_m,gdp_usd_billion,trade_openness_pct,export_growth_yoy_pct,import_growth_yoy_pct,data_source
Annual_Summary,1947,1940s,Early Independence,Pre-Plan,0,Independence & Partition,,,,,,,,,602,707,-105,493.64,664.58,108.36,42.42,,,,,RBI_Historical
Annual_Summary,1948,1940s,Early Independence,Pre-Plan,0,,,,,,,,,,782,791,-9,641.24,743.54,140.76,47.46,,,29.9,11.88,RBI_Historical
Annual_Summary,1949,1940s,Early Independence,Pre-Plan,0,,,,,,,,,,797,848,-51,653.54,797.12,143.46,50.88,,,1.92,7.21,RBI_Historical
Annual_Summary,1950,1950s,Early Independence,Pre-Plan,0,,,,,,,,,,1272,1277,-5,1043.04,1200.38,228.96,76.62,30.6,8.33,59.6,50.59,RBI_Historical
Annual_Summary,1951,1950s,Early Independence,Plan 1,0,First Five-Year Plan,,,,,,,,,1620,2011,-391,1328.4,1890.34,291.6,120.66,32.1,11.31,27.36,57.48,RBI_Historical
Annual_Summary,1952,1950s,Early Independence,Plan 1,1,,,,,,,,,,1257,1826,-569,1030.74,1716.44,226.26,109.56,31.8,9.69,-22.41,-9.2,RBI_Historical
Annual_Summary,1953,1950s,Early Independence,Plan 1,0,,,,,,,,,,1263,1588,-325,1035.66,1492.72,227.34,95.28,32.9,8.67,0.48,-13.03,RBI_Historical
Annual_Summary,1954,1950s,Early Independence,Plan 1,0,,,,,,,,,,1257,1468,-211,1030.74,1379.92,226.26,88.08,33.4,8.16,-0.48,-7.56,RBI_Historical
Annual_Summary,1955,1950s,Early Independence,Plan 1,0,,,,,,,,,,1280,1626,-346,1049.6,1528.44,230.4,97.56,34.5,8.42,1.83,10.76,RBI_Historical
Annual_Summary,1956,1950s,Early Independence,Plan 2,0,,,,,,,,,,1328,2077,-749,1088.96,1952.38,239.04,124.62,35.9,9.48,3.75,27.74,RBI_Historical
Annual_Summary,1957,1950s,Early Independence,Plan 2,1,,,,,,,,,,1231,2350,-1119,1009.42,2209.0,221.58,141.0,35.2,10.17,-7.3,13.14,RBI_Historical
Annual_Summary,1958,1950s,Early Independence,Plan 2,0,,,,,,,,,,1231,1911,-680,1009.42,1796.34,221.58,114.66,36.7,8.56,0.0,-18.68,RBI_Historical
Annual_Summary,1959,1950s,Early Independence,Plan 2,0,,,,,,,,,,1344,2060,-716,1102.08,1936.4,241.92,123.6,38.0,8.96,9.18,7.8,RBI_Historical
Annual_Summary,1960,1960s,Early Independence,Plan 2,0,,,,,,,,,,1332,2354,-1022,1092.24,2212.76,239.76,141.24,37.6,9.8,-0.89,14.27,WorldBank
Annual_Summary,1961,1960s,Early Independence,Plan 3,0,,,,,,,,,,1403,2213,-810,1150.46,2080.22,252.54,132.78,39.5,9.15,5.33,-5.99,WorldBank
Annual_Summary,1962,1960s,Early Independence,Plan 3,1,,,,,,,,,,1390,2376,-986,1139.8,2233.44,250.2,142.56,41.2,9.14,-0.93,7.37,WorldBank
Annual_Summary,1963,1960s,Early Independence,Plan 3,0,,,,,,,,,,1634,2551,-917,1339.88,2397.94,294.12,153.06,44.4,9.43,17.55,7.37,WorldBank
